City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,66.22,clear sky,-20.3428,57.7575,Casa Tia Villa
1,Villazon,BO,53.96,overcast clouds,-22.0866,-65.5942,La Candelaria
2,Igarka,RU,58.14,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
3,San Patricio,US,89.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
4,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Mataura,NZ,33.48,few clouds,-46.1927,168.8643,Ellie's Villa
6,Brae,GB,57.11,broken clouds,60.3964,-1.353,Busta House Hotel
7,Hammerfest,NO,55.13,clear sky,70.6634,23.6821,Skytterhuset
8,College,US,71.8,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
9,Bethel,US,75.56,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
10,Bredasdorp,ZA,55.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
11,Busselton,AU,46.09,overcast clouds,-33.65,115.3333,Observatory Guest House
12,Kodiak,US,53.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
13,Tuktoyaktuk,CA,42.08,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
14,Punta Arenas,CL,44.71,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
15,Vao,NC,69.42,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
16,Albany,US,78.03,broken clouds,42.6001,-73.9662,
17,Canavieiras,BR,71.76,overcast clouds,-15.675,-38.9472,Bahiadomizil
18,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
19,Hermanus,ZA,55.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
20,Lashio,MM,67.93,scattered clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
21,Mehamn,NO,50.18,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
22,Saint George,US,94.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
23,Conceicao Da Barra,BR,75.9,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
24,Saint-Philippe,RE,66.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Humaita,BR,97.79,clear sky,-7.5061,-63.0208,Corrêa Hotel
26,Hualmay,PE,68.2,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
27,Jamestown,US,76.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
28,Namibe,AO,70.47,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
29,Raudeberg,NO,60.4,scattered clouds,61.9875,5.1352,Nordre Silda.
30,Alwar,IN,81.61,scattered clouds,27.5667,76.6,Hotel Aashyana Alwar
31,Hilo,US,71.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
32,Barrow,US,48.22,overcast clouds,71.2906,-156.7887,King Eider Inn
33,Cape Town,ZA,60.1,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
34,Nemuro,JP,64.98,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
35,Bandarbeyla,SO,77.77,scattered clouds,9.4942,50.8122,JABIR HOTEL
36,Matara,LK,79.32,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
37,Waipawa,NZ,44.46,broken clouds,-41.4122,175.5153,Tora Coastal Walk
38,Jiayuguan,CN,72.27,broken clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
39,Naantali,FI,63.32,clear sky,60.4674,22.0243,Naantali Spa Hotel & Resort
40,Thompson,CA,84.45,clear sky,55.7435,-97.8558,Burntwood Hotel
42,Ushuaia,AR,44.26,broken clouds,-54.8,-68.3,Albatros Hotel
43,Tilichiki,RU,40.95,overcast clouds,60.4667,166.1,
44,Rikitea,PF,69.57,overcast clouds,-23.1203,-134.9692,People ThankYou
45,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
46,Cherskiy,RU,33.12,snow,68.75,161.3,Gostinitsa
47,Vaini,TO,68.16,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Nebolchi,RU,60.19,scattered clouds,59.1239,33.3454,Gostinitsa Msta
49,Isangel,VU,67.62,few clouds,-19.55,169.2667,Tanna Lodge
50,Xuddur,SO,78.17,overcast clouds,4.1213,43.8894,Banjanay Hotel
51,Praia Da Vitoria,PT,73.87,scattered clouds,38.7333,-27.0667,Hotel Branco I
52,Tucurui,BR,93.6,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
53,Qaanaaq,GL,43.7,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
54,Wajid,SO,79.57,overcast clouds,3.8093,43.2471,xamdihotelresturant114
55,Brodek U Prerova,CZ,78.26,overcast clouds,49.4842,17.3382,Pohostinství Kokoráček
56,Chepareria,KE,62.17,broken clouds,1.3077,35.2039,Hamza Lodge
57,Marsaxlokk,MT,90.21,clear sky,35.8419,14.5431,Water's Edge
58,Upernavik,GL,42.1,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
59,Castro,BR,59.14,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
60,Kaitangata,NZ,36.07,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
61,Port Alfred,ZA,65.98,clear sky,-33.5906,26.891,The Halyards Hotel
62,Carnarvon,AU,53.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
63,Zhigansk,RU,61.12,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
64,Puerto Ayora,EC,72.25,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Torbay,CA,70.88,few clouds,47.6666,-52.7314,Gallows Cove
66,Seoul,KR,80.04,broken clouds,37.5683,126.9778,롯데호텔 서울
67,Saint-Prosper,CA,74.68,few clouds,46.2117,-70.4811,
68,Avarua,CK,69.85,few clouds,-21.2078,-159.775,Paradise Inn
69,Puerto Baquerizo Moreno,EC,70.9,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
70,Hobart,AU,49.05,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
71,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
72,Kaset Sombun,TH,74.68,overcast clouds,16.2805,101.9542,BoonTewa Hotel
73,Owando,CG,87.85,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
74,Burnie,AU,47.25,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
75,Broome,US,76.69,few clouds,42.2506,-75.833,Chenango Valley State Park
76,Chicama,PE,66.74,few clouds,-7.8447,-79.1469,Balihai Bungalows
77,Ginda,IN,67.28,scattered clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
78,Saint Anthony,US,83.84,smoke,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
79,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
80,Tasiilaq,GL,42.57,overcast clouds,65.6145,-37.6368,The Red House
81,Talnakh,RU,71.6,overcast clouds,69.4865,88.3972,Talnakh Hotel
82,Deputatskiy,RU,35.46,scattered clouds,69.3,139.9,Baza Otdykha
83,Norman Wells,CA,51.84,moderate rain,65.282,-126.8329,Heritage Hotel
