City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Description
0,Bambous Virieux,-20.3428,57.7575,66.22,60,0,12.66,MU,clear sky
1,Villazon,-22.0866,-65.5942,53.96,27,100,7.54,BO,overcast clouds
2,Igarka,67.4667,86.5833,58.14,94,98,8.01,RU,overcast clouds
3,San Patricio,28.017,-97.5169,89.55,61,100,3.67,US,overcast clouds
4,Hithadhoo,-0.6,73.0833,82.33,73,92,8.55,MV,overcast clouds
5,Mataura,-46.1927,168.8643,33.48,98,11,2.84,NZ,few clouds
6,Brae,60.3964,-1.353,57.11,75,72,8.3,GB,broken clouds
7,Hammerfest,70.6634,23.6821,55.13,66,0,11.5,NO,clear sky
8,College,64.8569,-147.8028,71.8,69,75,4.61,US,broken clouds
9,Bethel,41.3712,-73.414,75.56,60,1,4.61,US,clear sky
10,Bredasdorp,-34.5322,20.0403,55.27,92,0,5.06,ZA,clear sky
11,Busselton,-33.65,115.3333,46.09,76,89,4.18,AU,overcast clouds
12,Kodiak,57.79,-152.4072,53.11,76,90,4.61,US,overcast clouds
13,Tuktoyaktuk,69.4541,-133.0374,42.08,72,42,4.14,CA,scattered clouds
14,Punta Arenas,-53.15,-70.9167,44.71,65,0,14.97,CL,clear sky
15,Vao,-22.6667,167.4833,69.42,63,56,2.89,NC,broken clouds
16,Albany,42.6001,-73.9662,78.03,54,81,2.98,US,broken clouds
17,Canavieiras,-15.675,-38.9472,71.76,80,100,5.06,BR,overcast clouds
18,Georgetown,5.4112,100.3354,84.88,78,20,3.44,MY,few clouds
19,Hermanus,-34.4187,19.2345,55.9,94,1,3.74,ZA,clear sky
20,Lashio,22.9333,97.75,67.93,99,29,1.7,MM,scattered clouds
21,Mehamn,71.0357,27.8492,50.18,81,20,8.05,NO,few clouds
22,Saint George,37.1041,-113.5841,94.42,27,1,1.99,US,clear sky
23,Conceicao Da Barra,-18.5933,-39.7322,75.9,59,58,7.36,BR,broken clouds
24,Saint-Philippe,-21.3585,55.7679,66.22,66,1,11.03,RE,clear sky
25,Humaita,-7.5061,-63.0208,97.79,20,3,6.62,BR,clear sky
26,Hualmay,-11.0964,-77.6139,68.2,71,36,7.34,PE,scattered clouds
27,Jamestown,42.097,-79.2353,76.01,57,90,3.0,US,overcast clouds
28,Namibe,-15.1961,12.1522,70.47,74,0,5.28,AO,clear sky
29,Raudeberg,61.9875,5.1352,60.4,74,50,9.37,NO,scattered clouds
30,Alwar,27.5667,76.6,81.61,80,29,5.35,IN,scattered clouds
31,Hilo,19.7297,-155.09,71.33,90,90,9.22,US,light rain
32,Barrow,71.2906,-156.7887,48.22,84,90,13.8,US,overcast clouds
33,Cape Town,-33.9258,18.4232,60.1,78,75,1.01,ZA,broken clouds
34,Nemuro,43.3236,145.575,64.98,98,100,9.89,JP,overcast clouds
35,Bandarbeyla,9.4942,50.8122,77.77,80,29,30.27,SO,scattered clouds
36,Matara,5.9485,80.5353,79.32,86,100,11.48,LK,overcast clouds
37,Waipawa,-41.4122,175.5153,44.46,68,83,20.8,NZ,broken clouds
38,Jiayuguan,39.8167,98.3,72.27,16,60,2.33,CN,broken clouds
39,Naantali,60.4674,22.0243,63.32,45,0,10.36,FI,clear sky
40,Thompson,55.7435,-97.8558,84.45,30,0,9.84,CA,clear sky
41,Henties Bay,-22.116,14.2845,60.85,93,16,1.54,NA,few clouds
42,Ushuaia,-54.8,-68.3,44.26,57,75,17.27,AR,broken clouds
43,Tilichiki,60.4667,166.1,40.95,77,86,8.08,RU,overcast clouds
44,Rikitea,-23.1203,-134.9692,69.57,57,100,16.89,PF,overcast clouds
45,Mar Del Plata,-38.0023,-57.5575,62.62,61,0,1.01,AR,clear sky
46,Cherskiy,68.75,161.3,33.12,99,100,18.59,RU,snow
47,Vaini,-21.2,-175.2,68.16,83,20,8.05,TO,few clouds
48,Nebolchi,59.1239,33.3454,60.19,80,34,10.07,RU,scattered clouds
49,Isangel,-19.55,169.2667,67.62,75,11,8.9,VU,few clouds
50,Xuddur,4.1213,43.8894,78.17,58,97,19.48,SO,overcast clouds
51,Praia Da Vitoria,38.7333,-27.0667,73.87,82,31,8.9,PT,scattered clouds
52,Tucurui,-3.7661,-49.6725,93.6,31,41,4.85,BR,scattered clouds
53,Qaanaaq,77.484,-69.3632,43.7,73,97,3.6,GL,overcast clouds
54,Wajid,3.8093,43.2471,79.57,57,88,18.84,SO,overcast clouds
55,Brodek U Prerova,49.4842,17.3382,78.26,55,91,2.26,CZ,overcast clouds
56,Chepareria,1.3077,35.2039,62.17,82,71,4.68,KE,broken clouds
57,Marsaxlokk,35.8419,14.5431,90.21,55,0,6.91,MT,clear sky
58,Upernavik,72.7868,-56.1549,42.1,94,100,5.88,GL,overcast clouds
59,Castro,-24.7911,-50.0119,59.14,54,45,5.7,BR,scattered clouds
60,Kaitangata,-46.2817,169.8464,36.07,92,13,4.14,NZ,few clouds
61,Port Alfred,-33.5906,26.891,65.98,60,0,9.44,ZA,clear sky
62,Carnarvon,-24.8667,113.6333,53.67,42,0,12.66,AU,clear sky
63,Zhigansk,66.7697,123.3711,61.12,60,5,8.99,RU,clear sky
64,Puerto Ayora,-0.7393,-90.3518,72.25,81,89,11.43,EC,overcast clouds
65,Torbay,47.6666,-52.7314,70.88,64,12,18.54,CA,few clouds
66,Seoul,37.5683,126.9778,80.04,88,69,2.89,KR,broken clouds
67,Saint-Prosper,46.2117,-70.4811,74.68,43,19,11.88,CA,few clouds
68,Avarua,-21.2078,-159.775,69.85,83,20,3.44,CK,few clouds
69,Puerto Baquerizo Moreno,-0.9,-89.6,70.9,82,98,13.71,EC,overcast clouds
70,Hobart,-42.8794,147.3294,49.05,80,100,1.99,AU,overcast clouds
71,Klaksvik,62.2266,-6.589,52.72,97,100,12.39,FO,overcast clouds
72,Kaset Sombun,16.2805,101.9542,74.68,95,100,4.34,TH,overcast clouds
73,Owando,-0.4819,15.8999,87.85,34,92,3.06,CG,overcast clouds
74,Burnie,-41.0667,145.9167,47.25,84,83,10.38,AU,broken clouds
75,Broome,42.2506,-75.833,76.69,54,20,1.01,US,few clouds
76,Chicama,-7.8447,-79.1469,66.74,58,19,7.27,PE,few clouds
77,Ginda,30.6945,78.4932,67.28,95,32,1.16,IN,scattered clouds
78,Saint Anthony,45.0205,-93.218,83.84,48,1,3.0,US,smoke
79,Port Elizabeth,-33.918,25.5701,68.09,31,0,5.64,ZA,clear sky
80,Tasiilaq,65.6145,-37.6368,42.57,83,100,2.17,GL,overcast clouds
81,Talnakh,69.4865,88.3972,71.6,45,100,6.35,RU,overcast clouds
82,Deputatskiy,69.3,139.9,35.46,75,46,4.07,RU,scattered clouds
83,Norman Wells,65.282,-126.8329,51.84,93,90,3.44,CA,moderate rain
84,Faanui,-16.4833,-151.75,78.55,76,50,10.02,PF,scattered clouds
85,New Norfolk,-42.7826,147.0587,48.7,81,100,1.99,AU,overcast clouds
86,Dingle,10.9995,122.6711,79.68,82,100,9.31,PH,moderate rain
87,Nichinan,31.6,131.3667,80.76,91,27,5.53,JP,scattered clouds
88,Maniwaki,46.3834,-75.966,73.67,60,66,7.25,CA,broken clouds
89,Iraquara,-12.2486,-41.6194,81.9,27,10,7.36,BR,clear sky
90,Pozoblanco,38.3791,-4.8483,90.18,17,4,6.93,ES,clear sky
91,Aksarayskiy,46.7924,48.0119,88.99,16,13,10.47,RU,few clouds
92,Deer Lake,49.1667,-57.4316,70.92,49,31,14.88,CA,scattered clouds
93,Kapaa,22.0752,-159.319,79.12,77,40,5.01,US,scattered clouds
94,Hasaki,35.7333,140.8333,77.4,90,17,10.63,JP,few clouds
95,San Quintin,30.4833,-115.95,79.52,56,0,8.68,MX,clear sky
96,Charlottetown,46.2352,-63.1267,75.56,55,0,8.99,CA,clear sky
97,Hovd,48.0056,91.6419,67.66,37,6,3.62,MN,clear sky
98,Bembereke,10.2283,2.6634,77.11,78,100,4.59,BJ,overcast clouds
99,Mayor Pablo Lagerenza,-19.9309,-60.7718,82.62,23,93,4.81,PY,overcast clouds
100,Vila Do Maio,15.1333,-23.2167,77.79,89,94,14.0,CV,light rain
101,Kampene,-3.6,26.6667,80.06,38,50,1.03,CD,scattered clouds
102,Bathsheba,13.2167,-59.5167,86.61,70,20,13.8,BB,few clouds
103,Kharan,28.5833,65.4167,96.06,8,0,6.06,PK,clear sky
104,Beska,45.1297,20.0661,83.95,25,14,3.53,RS,few clouds
105,Biarritz,43.4801,-1.5556,71.53,79,75,6.91,FR,light rain
106,Bengkulu,-3.8004,102.2655,75.9,91,84,3.0,ID,broken clouds
107,The Valley,18.217,-63.0578,86.09,79,40,12.66,AI,light rain
108,Buraydah,26.326,43.975,97.3,8,6,7.92,SA,clear sky
109,Kaniama,-7.5667,24.1833,79.88,24,1,1.72,CD,clear sky
110,Faya,18.3851,42.4509,66.72,70,52,6.8,SA,broken clouds
111,Kavieng,-2.5744,150.7967,81.14,79,16,6.02,PG,few clouds
112,Cardston,49.2,-113.3019,80.89,36,93,9.22,CA,overcast clouds
113,Pokhara,28.2333,83.9833,74.01,84,97,2.46,NP,overcast clouds
